date,artist,song,pos,pos_prev,pos_peak,weeks
2009-10-03,Kid Cudi Featuring Kanye West & Common,Make Her Say,93,68,43,15
2009-12-26,Trey Songz Featuring Drake,I Invented Sex,43,43,43,8
2009-07-18,Rodney Atkins,It's America,96,99,44,20
2009-10-31,Justin Moore,Small Town USA,68,63,44,20
2009-09-26,Twista Featuring Erika Shevon,Wetter (Calling You Daddy),98,81,44,16
2009-12-19,P!nk,Funhouse,89,71,44,11
2009-06-06,Charice,Note To God,44,0,44,1
2009-12-26,Train,"Hey, Soul Sister",45,45,45,11
2009-09-05,Kellie Pickler,Best Days Of Your Life,81,77,46,20
2009-09-26,Glee Cast,Take A Bow,46,0,46,1
2009-06-20,Yung L.A. Featuring Young Dro & T.I.,Ain't I,97,96,47,19
2009-12-26,Uncle Kracker,Smile,58,53,47,19
2009-12-26,Jason Aldean,The Truth,48,47,47,6
2009-01-31,Miranda Cosgrove,About You Now,90,84,47,4
2009-03-14,Brooke White,Hold Up My Heart,47,0,47,1
2009-05-23,GS Boyz,Stanky Legg,77,69,49,14
2009-12-26,Tim McGraw,Southern Voice,50,49,49,8
2009-09-12,Sean Paul,So Fine,70,54,50,9
2009-07-04,The Black Eyed Peas,Imma Be,88,0,50,2
2009-11-07,Adam Lambert,Time For Miracles,50,0,50,1
2009-12-05,Glee Cast,Lean On Me,50,0,50,1
2009-10-24,LMFAO,I'm In Miami Trick,96,87,51,20
2009-12-19,Jeremih,Imma Star (Everywhere We Are),88,85,51,20
2009-11-07,Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em,LOL :-),85,69,51,8
2009-10-17,Glee Cast Featuring Kristin Chenoweth,Alone,51,0,51,1
2009-12-26,Glee Cast,My Life Would Suck Without You,51,0,51,1
2009-12-26,Dierks Bentley,I Wanna Make You Close Your Eyes,52,52,52,11
2009-07-18,Hurricane Chris Featuring SupaSTAAR,Halle Berry (She's Fine),94,83,52,10
2009-02-28,Demi Lovato,La La Land,95,88,52,8
2009-10-17,Randy Houser,Boots On,97,87,53,19
2009-07-18,Montgomery Gentry,One In Every Crowd,99,88,53,17
2009-10-17,George Strait,Living For The Night,93,74,53,17
2010-11-06,Usher Featuring will.i.am,OMG,43,44,1,30
2010-09-25,Taio Cruz Featuring Ludacris,Break Your Heart,48,42,1,29
2010-08-21,B.o.B Featuring Bruno Mars,Nothin' On You,49,41,1,28
2010-11-27,Katy Perry Featuring Snoop Dogg,California Gurls,50,44,1,27
2010-11-06,Eminem,Not Afraid,40,30,1,25
2010-12-25,Eminem Featuring Rihanna,Love The Way You Lie,40,37,1,25
2010-07-24,Rihanna,Rude Boy,36,33,1,22
2010-12-25,Bruno Mars,Just The Way You Are,7,7,1,21
2010-12-25,Katy Perry,Teenage Dream,20,15,1,21
2010-12-25,Far*East Movement Featuring Cataracs & Dev,Like A G6,12,11,1,18
2010-12-25,Rihanna,Only Girl (In The World),6,6,1,14
2010-12-25,P!nk,Raise Your Glass,4,2,1,10
2010-12-25,Katy Perry,Firework,1,1,1,8
2010-12-25,Rihanna Featuring Drake,What's My Name?,2,3,1,8
2010-12-25,Ke$ha,We R Who We R,5,8,1,7
2010-11-20,B.o.B Featuring Hayley Williams,Airplanes,47,39,2,30
2010-12-25,Taio Cruz,Dynamite,14,13,2,28
2010-06-05,Taylor Swift,Today Was A Fairytale,97,96,2,18
2010-03-27,Artists For Haiti,We Are The World 25: For Haiti,96,66,2,5
2010-12-25,Taylor Swift,Mine,50,47,3,19
2010-12-25,Nelly,Just A Dream,9,9,3,17
2010-12-25,Bruno Mars,Grenade,3,5,3,11
2010-12-25,Enrique Iglesias Featuring Pitbull,I Like It,31,26,4,31
2010-09-04,Ke$ha,Your Love Is My Drug,46,36,4,28
2010-10-16,Travie McCoy Featuring Bruno Mars,Billionaire,41,26,4,27
2010-12-25,Usher Featuring Pitbull,DJ Got Us Fallin' In Love,13,12,4,22
2010-12-25,The Black Eyed Peas,The Time (Dirty Bit),8,4,4,5
2010-09-18,Lady Gaga,Alejandro,46,44,5,23
2010-10-09,Drake,Find Your Love,47,34,5,21
2010-06-19,Justin Bieber Featuring Ludacris,Baby,52,50,5,20
2010-11-27,Mike Posner,Cooler Than Me,48,38,6,29
2010-12-25,Trey Songz Featuring Nicki Minaj,Bottoms Up,10,10,6,18
2010-12-25,Lil Wayne Featuring Drake,Right Above It,29,32,6,17
2010-12-25,Taylor Swift,Back To December,34,43,6,7
2010-06-05,Ke$ha Featuring 3OH!3,Blah Blah Blah,92,86,7,20
2010-09-18,La Roux,Bulletproof,45,45,8,27
2010-12-11,Ke$ha,Take It Off,57,55,8,20
2010-08-07,Miley Cyrus,Can't Be Tamed,88,65,8,10
2010-11-06,Taylor Swift,Speak Now,86,45,8,3
2010-12-11,Glee Cast,Teenage Dream,80,36,8,3
2010-10-23,Jason Derulo,Ridin' Solo,49,36,9,28
2010-12-25,Flo Rida Featuring David Guetta,Club Can't Handle Me,30,23,9,24
2010-09-11,The Black Eyed Peas,Rock That Body,95,91,9,18
2010-09-18,3OH!3 Featuring Ke$ha,My First Kiss,93,87,9,18
